"año","mes","dia","cantidad","venta"
2018,1,18,181.9,108741.1
2018,4,18,299.2,185954.6
2019,2,21,544,281846.5
2018,11,16,239.7,121291.3
2017,10,15,429,271128
2017,6,23,432,256626
2018,2,2,246.5,153241.4
2018,5,19,323,199773.6
2017,3,19,453,267529.2
2018,9,20,379.1,215527
2017,8,19,304.5,194880
2017,7,16,361.5,231300
2019,3,15,200.6,127436.4
2017,5,19,429,265980
2017,9,17,175.5,112320
2018,5,2,664.7,411204.3
2017,7,15,265.5,169920
2017,6,20,420,260400
2017,10,15,274.5,173820
2019,2,22,367.2,191908.6
2017,3,18,526.5,308823.6
2018,12,18,476,239759
2019,1,21,754.8,401546.6
2018,4,19,268.6,167456.9
2017,5,2,1030.5,629606.4
2018,11,17,377.4,191180.6
2017,4,18,570,353400
2017,1,15,343.5,203032.8
2018,2,20,425,261901.9
2018,9,21,311.1,177476
2018,12,17,690.2,344814.6
2019,3,16,217.6,138486.4
2017,3,19,699,412845.6
2019,1,21,600.1,304005
2017,7,17,483,302534.4
2017,9,2,373.5,239040
2019,2,22,266.9,138583.9
2018,2,21,317.9,195630.5
2018,11,17,265.2,134390.1
2018,9,15,328.1,186381
2018,12,18,595,308911.2
2017,6,23,396,234726
2018,10,15,3213,1279918.9
2018,4,2,799,480585.3
2017,8,19,217.5,139200
2017,9,20,439.5,280980
2018,1,19,263.5,156087.1
2017,1,16,345,185251.2
2018,12,19,229.5,142532
2018,5,20,193.8,119953.6
2017,5,2,882,531074.4
2017,7,17,552,331440
2017,9,2,253.5,162240
2017,10,16,381,234151.2
2018,2,20,197.2,123159.4
2017,6,24,322.5,191466
2019,3,16,166.6,106167.1
2017,8,2,127.5,81600
2018,10,20,329.8,190210.8
2018,9,21,280.5,159421.6
2018,1,2,792.2,471918.2
2017,4,2,520.5,289550.4
2017,5,20,402,249240
2017,1,16,375,215991.6
2018,2,21,136,84830.2
2017,10,17,355.5,224676
2017,6,25,255,151254
2019,1,22,703.8,378361.1
2019,2,23,181.9,94671.2
2018,10,21,379.1,218710.7
2017,3,2,1083,564194.4
2017,8,2,355.5,227923.2
2018,4,2,640.9,372122.4
2017,6,21,499.5,297258
2018,7,13,232.9,131999.4
2017,5,20,556.5,345030
2018,5,20,173.4,108253.6
2018,9,23,528.7,299325
2017,3,20,615,351334.8
2018,7,12,212.5,120866.2
2019,2,23,348.5,182377
2017,10,16,408,243147.6
2018,9,22,353.6,202241
2018,4,20,404.6,244791.3
2018,11,18,302.6,154230.7
2017,3,2,685.5,356756.4
2017,4,2,423,234378
2019,3,18,374,216426.6
2018,2,22,197.2,122541.9
2017,9,20,369,236160
2018,12,19,292.4,171871.7
2019,1,23,278.8,179835.5
2018,7,13,476,269886.5
